97300 100.00 705 50000 M0_2_50000_blastdb_BL60006.dna.00000001.out 3471549 3422254 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1382 99.00 2397732 2398444 M0_2_50000_blastdb_BL60006.dna.02350001.out 2540139 2539427 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1380 99.00 2397732 2398443 M0_2_50000_blastdb_BL60006.dna.02350001.out 507242 507953 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1378 100.00 2364067 2364777 M0_2_50000_blastdb_BL60006.dna.02350001.out 271643 270934 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1372 99.00 2397732 2398443 M0_2_50000_blastdb_BL60006.dna.02350001.out 1178451 1179162 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1370 99.00 2364067 2364777 M0_2_50000_blastdb_BL60006.dna.02350001.out 507952 507242 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1362 99.00 2397732 2398442 M0_2_50000_blastdb_BL60006.dna.02350001.out 3092700 3091990 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1362 99.00 2364067 2364777 M0_2_50000_blastdb_BL60006.dna.02350001.out 1179161 1178451 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1358 99.00 2364065 2364777 M0_2_50000_blastdb_BL60006.dna.02350001.out 3091988 3092700 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1356 99.00 2397732 2398443 M0_2_50000_blastdb_BL60006.dna.02350001.out 3122387 3123098 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1346 99.00 2364067 2364777 M0_2_50000_blastdb_BL60006.dna.02350001.out 3123097 3122387 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1100 95.00 2397732 2398442 M0_2_50000_blastdb_BL60006.dna.02350001.out 3550414 3551124 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1094 94.00 2364066 2364777 M0_2_50000_blastdb_BL60006.dna.02350001.out 3551125 3550414 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
194 96.00 2366159 2366276 M0_2_50000_blastdb_BL60006.dna.02350001.out 2781093 2781210 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
83 83.00 2373212 2373349 M0_2_50000_blastdb_BL60006.dna.02350001.out 4755675 4755538 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
77 93.00 2373300 2373354 M0_2_50000_blastdb_BL60006.dna.02350001.out 4100008 4100062 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
77 90.00 2366192 2366254 M0_2_50000_blastdb_BL60006.dna.02350001.out 3449849 3449787 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
75 91.00 2366196 2366253 M0_2_50000_blastdb_BL60006.dna.02350001.out 2644709 2644766 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
73 89.00 2373285 2373349 M0_2_50000_blastdb_BL60006.dna.02350001.out 1980222 1980286 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
67 91.00 2366198 2366251 M0_2_50000_blastdb_BL60006.dna.02350001.out 3511661 3511714 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
67 100.00 2364061 2364094 M0_2_50000_blastdb_BL60006.dna.02350001.out 1025769 1025736 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
65 88.00 2366182 2366246 M0_2_50000_blastdb_BL60006.dna.02350001.out 3877491 3877427 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
61 88.00 2373276 2373334 M0_2_50000_blastdb_BL60006.dna.02350001.out 3238702 3238760 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
60 86.00 2366195 2366260 M0_2_50000_blastdb_BL60006.dna.02350001.out 3970827 3970892 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
60 90.00 2366195 2366251 M0_2_50000_blastdb_BL60006.dna.02350001.out 776414 776471 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
56 84.00 2366176 2366255 M0_2_50000_blastdb_BL60006.dna.02350001.out 4553276 4553355 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
56 86.00 2394797 2394860 M0_2_50000_blastdb_BL60006.dna.02350001.out 1264847 1264784 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
56 100.00 2398415 2398442 M0_2_50000_blastdb_BL60006.dna.02350001.out 1025736 1025763 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
54 92.00 2366195 2366233 M0_2_50000_blastdb_BL60006.dna.02350001.out 787268 787230 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 92.00 2366195 2366231 M0_2_50000_blastdb_BL60006.dna.02350001.out 655176 655212 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 100.00 2366236 2366260 M0_2_50000_blastdb_BL60006.dna.02350001.out 251957 251933 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
48 100.00 2366240 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 2834409 2834386 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 84.00 2373282 2373344 M0_2_50000_blastdb_BL60006.dna.02350001.out 3240637 3240699 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 91.00 2393942 2393976 M0_2_50000_blastdb_BL60006.dna.02350001.out 1265708 1265674 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 87.00 2366218 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 4732936 4732891 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 87.00 2366218 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 4009401 4009356 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 87.00 2366218 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 3946317 3946272 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 86.00 2366198 2366247 M0_2_50000_blastdb_BL60006.dna.02350001.out 3569934 3569885 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 87.00 2366218 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 3417689 3417644 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 87.00 2366218 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 1414736 1414781 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 87.00 2366218 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 1258904 1258949 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 100.00 2374918 2374939 M0_2_50000_blastdb_BL60006.dna.02350001.out 663355 663334 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 87.00 2366218 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 551106 551151 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 100.00 2353192 2353213 M0_2_50000_blastdb_BL60006.dna.02350001.out 222946 222925 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 96.00 2366200 2366224 M0_2_50000_blastdb_BL60006.dna.02350001.out 4573181 4573157 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 93.00 2366232 2366260 M0_2_50000_blastdb_BL60006.dna.02350001.out 4358695 4358723 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 2399935 2399955 M0_2_50000_blastdb_BL60006.dna.02350001.out 2697713 2697693 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 93.00 2398903 2398931 M0_2_50000_blastdb_BL60006.dna.02350001.out 700777 700749 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 2350062 2350081 M0_2_50000_blastdb_BL60006.dna.02350001.out 2228094 2228113 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 2362222 2362241 M0_2_50000_blastdb_BL60006.dna.02350001.out 1203648 1203629 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 93.00 2366237 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 4285130 4285156 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 2398939 2398961 M0_2_50000_blastdb_BL60006.dna.02350001.out 3530167 3530145 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 2391667 2391685 M0_2_50000_blastdb_BL60006.dna.02350001.out 2521518 2521536 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 2366203 2366221 M0_2_50000_blastdb_BL60006.dna.02350001.out 2474350 2474332 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 2364870 2364888 M0_2_50000_blastdb_BL60006.dna.02350001.out 2323561 2323543 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 2399280 2399298 M0_2_50000_blastdb_BL60006.dna.02350001.out 2291786 2291768 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 2389808 2389826 M0_2_50000_blastdb_BL60006.dna.02350001.out 1225593 1225575 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 2366239 2366261 M0_2_50000_blastdb_BL60006.dna.02350001.out 559052 559074 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 2396230 2396252 M0_2_50000_blastdb_BL60006.dna.02350001.out 302808 302786 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 2366239 2366260 M0_2_50000_blastdb_BL60006.dna.02350001.out 4678183 4678204 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 2351562 2351583 M0_2_50000_blastdb_BL60006.dna.02350001.out 4255236 4255257 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2363882 2363899 M0_2_50000_blastdb_BL60006.dna.02350001.out 4250656 4250639 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2394152 2394169 M0_2_50000_blastdb_BL60006.dna.02350001.out 4061038 4061055 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2399314 2399331 M0_2_50000_blastdb_BL60006.dna.02350001.out 4037849 4037832 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 90.00 2366218 2366247 M0_2_50000_blastdb_BL60006.dna.02350001.out 3648008 3647979 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 2362144 2362165 M0_2_50000_blastdb_BL60006.dna.02350001.out 3489040 3489019 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2362148 2362165 M0_2_50000_blastdb_BL60006.dna.02350001.out 3433724 3433707 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2374854 2374871 M0_2_50000_blastdb_BL60006.dna.02350001.out 3391082 3391099 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2371897 2371914 M0_2_50000_blastdb_BL60006.dna.02350001.out 3199022 3199039 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 87.00 2373300 2373337 M0_2_50000_blastdb_BL60006.dna.02350001.out 3170717 3170754 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 85.00 2366218 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 3050874 3050829 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2356605 2356622 M0_2_50000_blastdb_BL60006.dna.02350001.out 3011157 3011174 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 2362143 2362164 M0_2_50000_blastdb_BL60006.dna.02350001.out 2794840 2794861 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2350383 2350400 M0_2_50000_blastdb_BL60006.dna.02350001.out 2760542 2760559 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 2388122 2388143 M0_2_50000_blastdb_BL60006.dna.02350001.out 2640310 2640289 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2358592 2358609 M0_2_50000_blastdb_BL60006.dna.02350001.out 2515161 2515144 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2352725 2352742 M0_2_50000_blastdb_BL60006.dna.02350001.out 2012277 2012294 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 90.00 2366218 2366247 M0_2_50000_blastdb_BL60006.dna.02350001.out 1764730 1764701 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 2394277 2394298 M0_2_50000_blastdb_BL60006.dna.02350001.out 1689604 1689625 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 2373266 2373287 M0_2_50000_blastdb_BL60006.dna.02350001.out 1678433 1678454 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 2383426 2383447 M0_2_50000_blastdb_BL60006.dna.02350001.out 1554094 1554115 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2368925 2368942 M0_2_50000_blastdb_BL60006.dna.02350001.out 1420983 1421000 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2376623 2376640 M0_2_50000_blastdb_BL60006.dna.02350001.out 1055313 1055330 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2351185 2351202 M0_2_50000_blastdb_BL60006.dna.02350001.out 1055264 1055281 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2353048 2353065 M0_2_50000_blastdb_BL60006.dna.02350001.out 826377 826360 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2378806 2378823 M0_2_50000_blastdb_BL60006.dna.02350001.out 650573 650590 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2382673 2382690 M0_2_50000_blastdb_BL60006.dna.02350001.out 636636 636653 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2388459 2388476 M0_2_50000_blastdb_BL60006.dna.02350001.out 615970 615953 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2377780 2377797 M0_2_50000_blastdb_BL60006.dna.02350001.out 478345 478362 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2369357 2369374 M0_2_50000_blastdb_BL60006.dna.02350001.out 476946 476929 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 2381801 2381818 M0_2_50000_blastdb_BL60006.dna.02350001.out 97158 97141 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 85.00 2366218 2366263 M0_2_50000_blastdb_BL60006.dna.02350001.out 95088 95133 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
98170 100.00 2400001 2450000 M0_2_50000_blastdb_BL60006.dna.02400001.out 1332054 1282056 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
285 93.00 2435884 2436090 M0_2_50000_blastdb_BL60006.dna.02400001.out 4009344 4009551 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
281 93.00 2435884 2436088 M0_2_50000_blastdb_BL60006.dna.02400001.out 551163 550958 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
276 93.00 2435885 2436082 M0_2_50000_blastdb_BL60006.dna.02400001.out 3946261 3946459 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
254 92.00 2435885 2436079 M0_2_50000_blastdb_BL60006.dna.02400001.out 3417633 3417828 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
242 90.00 2435885 2436089 M0_2_50000_blastdb_BL60006.dna.02400001.out 3050818 3051023 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
236 90.00 2435885 2436082 M0_2_50000_blastdb_BL60006.dna.02400001.out 1764674 1764872 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
232 90.00 2435887 2436082 M0_2_50000_blastdb_BL60006.dna.02400001.out 95142 94946 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
226 88.00 2411860 2412081 M0_2_50000_blastdb_BL60006.dna.02400001.out 1020230 1020010 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
131 94.00 2436006 2436091 M0_2_50000_blastdb_BL60006.dna.02400001.out 4732964 4733049 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
113 94.00 2436003 2436079 M0_2_50000_blastdb_BL60006.dna.02400001.out 2473607 2473683 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
97 84.00 2408655 2408799 M0_2_50000_blastdb_BL60006.dna.02400001.out 1051397 1051248 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
69 86.00 2435885 2435970 M0_2_50000_blastdb_BL60006.dna.02400001.out 2473525 2473611 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
69 90.00 2435884 2435949 M0_2_50000_blastdb_BL60006.dna.02400001.out 1258961 1258895 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
69 88.00 2408855 2408921 M0_2_50000_blastdb_BL60006.dna.02400001.out 1051205 1051139 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
67 97.00 2435959 2435996 M0_2_50000_blastdb_BL60006.dna.02400001.out 4132510 4132473 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
67 93.00 2436042 2436087 M0_2_50000_blastdb_BL60006.dna.02400001.out 2352031 2351986 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
63 91.00 2418244 2418298 M0_2_50000_blastdb_BL60006.dna.02400001.out 3417467 3417412 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
61 88.00 2435884 2435949 M0_2_50000_blastdb_BL60006.dna.02400001.out 1414793 1414727 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
60 87.00 2411781 2411849 M0_2_50000_blastdb_BL60006.dna.02400001.out 3575936 3576005 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
60 87.00 2408918 2408979 M0_2_50000_blastdb_BL60006.dna.02400001.out 3541475 3541414 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
60 87.00 2408918 2408979 M0_2_50000_blastdb_BL60006.dna.02400001.out 2768410 2768471 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
60 93.00 2436047 2436088 M0_2_50000_blastdb_BL60006.dna.02400001.out 1258873 1258832 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
58 95.00 2442064 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 3080891 3080930 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
56 95.00 2442065 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 4269501 4269539 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
54 94.00 2412079 2412113 M0_2_50000_blastdb_BL60006.dna.02400001.out 4706323 4706289 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
54 95.00 2442066 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 4680677 4680714 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
54 95.00 2442066 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 4637199 4637236 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 93.00 2442063 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 4203022 4203062 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 97.00 2439758 2439787 M0_2_50000_blastdb_BL60006.dna.02400001.out 1320997 1321026 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 97.00 2411030 2411059 M0_2_50000_blastdb_BL60006.dna.02400001.out 1292269 1292298 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 97.00 2410952 2410981 M0_2_50000_blastdb_BL60006.dna.02400001.out 1022965 1022936 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
52 93.00 2442064 2442105 M0_2_50000_blastdb_BL60006.dna.02400001.out 57296 57256 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 95.00 2442068 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 3080981 3080946 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 95.00 2442068 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 548375 548410 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 92.00 2418262 2418298 M0_2_50000_blastdb_BL60006.dna.02400001.out 360851 360887 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
50 95.00 2442068 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 91958 91923 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
48 94.00 2442068 2442103 M0_2_50000_blastdb_BL60006.dna.02400001.out 2341397 2341431 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 92.00 2442066 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 3800529 3800492 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 96.00 2442079 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 4642507 4642532 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 96.00 2442079 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 4274545 4274520 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 96.00 2442079 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 4270587 4270612 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 2435968 2435997 M0_2_50000_blastdb_BL60006.dna.02400001.out 4262694 4262723 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 88.00 2405074 2405115 M0_2_50000_blastdb_BL60006.dna.02400001.out 3731679 3731720 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 92.00 2442068 2442105 M0_2_50000_blastdb_BL60006.dna.02400001.out 3103409 3103373 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 2435968 2435997 M0_2_50000_blastdb_BL60006.dna.02400001.out 2712177 2712148 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 96.00 2442079 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 2672222 2672197 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 96.00 2442079 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 2452365 2452340 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 96.00 2442079 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 2431633 2431608 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 85.00 2418238 2418298 M0_2_50000_blastdb_BL60006.dna.02400001.out 1643173 1643234 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 100.00 2427827 2427848 M0_2_50000_blastdb_BL60006.dna.02400001.out 1580786 1580807 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 2430550 2430570 M0_2_50000_blastdb_BL60006.dna.02400001.out 4808645 4808665 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 92.00 2442068 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 4366736 4366701 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 89.00 2405509 2405545 M0_2_50000_blastdb_BL60006.dna.02400001.out 3561642 3561606 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 92.00 2442068 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 2979992 2979957 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 96.00 2442079 2442103 M0_2_50000_blastdb_BL60006.dna.02400001.out 2379287 2379263 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 2408744 2408764 M0_2_50000_blastdb_BL60006.dna.02400001.out 2045366 2045386 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 92.00 2442068 2442104 M0_2_50000_blastdb_BL60006.dna.02400001.out 478393 478428 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 2442089 2442108 M0_2_50000_blastdb_BL60006.dna.02400001.out 4667774 4667755 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 96.00 2442083 2442106 M0_2_50000_blastdb_BL60006.dna.02400001.out 3471595 3471618 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 2441987 2442006 M0_2_50000_blastdb_BL60006.dna.02400001.out 2901745 2901764 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 96.00 2405152 2405175 M0_2_50000_blastdb_BL60006.dna.02400001.out 2668811 2668788 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 2405510 2405529 M0_2_50000_blastdb_BL60006.dna.02400001.out 2428974 2428993 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 93.00 2436017 2436044 M0_2_50000_blastdb_BL60006.dna.02400001.out 2334307 2334280 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
